Author;ID;PIDs;Keywords
Rehman, Hamood Ur;117;1711349;artificial intelligence,multi-agent programming,digital twin,process simulation
Monetti, Fabio Marco;118;1711349;artificial intelligence,multi-agent programming,digital twin,process simulation
Maffei, Antonio;119;1711349;artificial intelligence,multi-agent programming,digital twin,process simulation
Ratchev, Svetan;120;1711349;artificial intelligence,multi-agent programming,digital twin,process simulation
Tu, Ruibo;1114;1720056,1239198,1464968,1647866,1349749;causal discovery,missing data,fairness,functional causal model,pc
Roungas, Bill;2b017065-1f66-4648-ae09-26d63dc11f6b;1661092;client-server systems,emotion recognition,virtual reality,design,diseases,built environment,cancer patients,causes of death,design frameworks,european union,game design,young peoples
Brynielsson, Joel;266;10469,345399,504183,1057519,576098,1057518,1118834;command and control,decision-making,situation awareness,data fusion,simulation,gaming,experimentation,microworld research,graphical modeling,game theory,rationality,intrigue sketch,narrative,organized cybercrime,persona,social media,topic modeling,geo-awareness,trend analysis,latent dirichlet allocation,streaming media
Berglund, Erik;121;1912285;pqbl,qbl,technology enhanced learning,primary school,ai generation
Schyffert, Janne;122;1912285;pqbl,qbl,technology enhanced learning,primary school,ai generation
Jin, Junchen;123;1205228,1205218,1205236,1343496;simulation-based optimization,archived genetic algorithm,road traffic controls,traffic light control,object-oriented software framework
Ma, Xiaoliang;124;1205228,1205218,1343496;simulation-based optimization,archived genetic algorithm,road traffic controls,traffic light control,object-oriented software framework
Baumann, Christoph;125;971284,1368718;hypervisor,isolation,assurance,formal verification,common criteria,armv8,decomposition,soc,information flow security,armv8
